IdentifiantImmeuble;CodeVoieRivoliImmeuble;CodeInseeImmeuble;CodePostalImmeuble;CommuneImmeuble;CodeAdresseImmeuble;TypeVoieImmeuble;NomVoieImmeuble;NumeroVoieImmeuble;ComplementNumeroVoieImmeuble;BatimentImmeuble;NombreLogementsAdresseIPE;EtatImmeuble;DateSignatureConvention;GestionnaireImmeuble;CodePostalGestionnaire;CommuneGestionnaire;TypeVoieGestionnaire;NomVoieGestionnaire;NumeroVoieGestionnaire;ComplementNumeroVoieGestionnaire;CodeAdresseGestionnaire;SiretGestionnaire;DateCablageAdresse;DateDerniereModification;ReferencePM;TypeIngenierie;FibreDedieeLibre;TypeImmeuble;TypeProjectionGeographique;CoordonneeImmeubleX;CoordonneeImmeubleY;AccordGestionnaireImmeubleNecessaire;TypeZone;DateMiseEnServiceCommercialeImmeuble;ImmeubleNeuf;DatePrevLivraisonImmeubleNeuf;CodeHexacleVoie;DateDebutAcceptationCmdAcces;DateDebutFournitureCRCmdAcces;ReferencePBO;DateMADPBO;NombrelogementsPBO;TypePBO;TypeRaccoPBPTO;ConditionsSyndic
IMB/01004/X/0001;0420;01004;01500;Ambérieu-en-Bugey;;Avenue;Jules Pellaudin;45;;;3;CIBLE;;;;;;;;;;;;201508220000;FI-01004-000H;MonofibreZMD;;IMMEUBLE;RGF93;883128.14;6541850.53;N;3;;;;010042229Y;;;;;;;;
IMB/01004/X/0004;0105;01004;01500;Ambérieu-en-Bugey;01004222TG;Rue;des Arenes;24;;;10;CIBLE;;;;;;;;;;;;201612240000;FI-01004-000N;MonofibreZMD;;IMMEUBLE;RGF93;883105.42;6542114.50;N;3;;;;010042224U;;;;;;;;
IMB/01004/X/0005;0010;01004;01500;Ambérieu-en-Bugey;01004223VV;Rue;Aguetant;2;B;;12;CIBLE;;RAA INCONNU 01;69003;Lyon 03;Rue;du Dauphiné;8;;;;;201601080000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882478.33;6542974.14;O;3;;;;0100422242;;;;;;;;
IMB/01004/X/0007;0010;01004;01500;Ambérieu-en-Bugey;01004223VX;Rue;Aguetant;5;;;2;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882483.99;6542934.13;N;3;;;;0100422242;;;;;;;aérien;
IMB/01004/X/0008;0010;01004;01500;Ambérieu-en-Bugey;01004227ZM;Rue;Aguetant;6;;;4;CIBLE;;DEPARTEMENT DE L'AIN;01000;Bourg-en-Bresse;Avenue;Alsace-Lorraine;45;;;;;201509120000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882406.20;6542951.78;O;3;;;;0100422242;;;;;;;;
IMB/01004/X/0009;0010;01004;01500;Ambérieu-en-Bugey;01004223VY;Rue;Aguetant;7;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882470.99;6542933.24;N;3;;;;0100422242;;;;;;;aérien;
IMB/01004/X/000A;0010;01004;01500;Ambérieu-en-Bugey;01004223VZ;Rue;Aguetant;8;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882383.11;6542937.99;N;3;;;;0100422242;;;;;;;aérien;
IMB/01004/X/000B;0010;01004;01500;Ambérieu-en-Bugey;01004223X2;Rue;Aguetant;9;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882454.97;6542929.38;N;3;;;;0100422242;;;;;;;aérien;
IMB/01004/X/000C;0010;01004;01500;Ambérieu-en-Bugey;01004223X3;Rue;Aguetant;10;;;1;EN COURS DE DEPLOIEMENT;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882372.09;6542935.09;N;3;;;;0100422242;;;;;;;souterrain;
IMB/01004/X/000D;0010;01004;01500;Ambérieu-en-Bugey;01004223X4;Rue;Aguetant;11;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882440.89;6542918.51;N;3;;;;0100422242;;;;;;;aérien;
IMB/01004/X/000E;0010;01004;01500;Ambérieu-en-Bugey;01004223X6;Rue;Aguetant;12;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882360.07;6542931.19;N;3;;;;0100422242;;;;;;;aérien;
IMB/01004/X/000F;0010;01004;01500;Ambérieu-en-Bugey;01004223X7;Rue;Aguetant;13;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882422.88;6542915.67;N;3;;;;0100422242;;;;;;;aérien;
IMB/01004/X/000G;0010;01004;01500;Ambérieu-en-Bugey;01004227ZN;Rue;Aguetant;14;;;30;CIBLE;;ALFA 3A;01500;Ambérieu-en-Bugey;Rue;Aguetant;14;;;;;201601080000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882326.01;6542921.49;O;3;;;;0100422242;;;;;;;;
IMB/01004/X/000I;0010;01004;01500;Ambérieu-en-Bugey;0100422C6R;Rue;Aguetant;16;;;2;EN COURS DE DEPLOIEMENT;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882310.21;6542942.61;N;3;;;;0100422242;;;;;;;souterrain;
IMB/01004/X/000J;0010;01004;01500;Ambérieu-en-Bugey;0100422BLA;Rue;Aguetant;17;;;3;EN COURS DE DEPLOIEMENT;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882332.73;6542889.46;N;3;;;;0100422242;;;;;;;souterrain;
IMB/01004/X/000K;0010;01004;01500;Ambérieu-en-Bugey;01004223XB;Rue;Aguetant;18;;;1;EN COURS DE DEPLOIEMENT;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882291.94;6542909.79;N;3;;;;0100422242;;;;;;;aérosouterrain;
IMB/01004/X/000M;0020;01004;01500;Ambérieu-en-Bugey;01004223SV;Rue;Aimé Poncet;3;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882361.48;6542979.14;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000N;0020;01004;01500;Ambérieu-en-Bugey;01004223SX;Rue;Aimé Poncet;5;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882353.57;6542989.20;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000O;0020;01004;01500;Ambérieu-en-Bugey;01004223SY;Rue;Aimé Poncet;7;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882350.70;6543004.21;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000P;0020;01004;01500;Ambérieu-en-Bugey;01004223SZ;Rue;Aimé Poncet;9;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882330.77;6543010.38;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000Q;0020;01004;01500;Ambérieu-en-Bugey;01004223T2;Rue;Aimé Poncet;10;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882368.04;6543045.03;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000R;0020;01004;01500;Ambérieu-en-Bugey;01004223T3;Rue;Aimé Poncet;11;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882331.98;6543035.34;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000S;0020;01004;01500;Ambérieu-en-Bugey;01004223T4;Rue;Aimé Poncet;12;;2;6;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882385.29;6543075.85;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000T;0020;01004;01500;Ambérieu-en-Bugey;01004223T6;Rue;Aimé Poncet;13;;;1;CIBLE;;;;;;;;;;;;201711100000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882325.15;6543054.39;N;3;;;;010042223X;;;;;;;aérien;
IMB/01004/X/000U;0020;01004;01500;Ambérieu-en-Bugey;0100422AHX;Rue;Aimé Poncet;15;B;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882347.42;6543087.17;N;3;;;;010042223X;;;;;;;;
IMB/01004/X/000V;0020;01004;01500;Ambérieu-en-Bugey;01004223T7;Rue;Aimé Poncet;15;;;1;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882312.29;6543068.48;N;3;;;;010042223X;;;;;;;;
IMB/01004/X/000W;0020;01004;01500;Ambérieu-en-Bugey;0100422AHH;Rue;Aimé Poncet;17;B;;1;CIBLE;;;;;;;;;;;;201711160000;FI-01004-000B;MonofibreZMD;;PAVILLON;RGF93;882298.80;6543127.55;N;3;;;;010042223X;;;;;;;aérosouterrain;
IMB/01004/X/000X;0020;01004;01500;Ambérieu-en-Bugey;01004223T9;Rue;Aimé Poncet;17;;;8;CIBLE;;BUGEY IMMOBILIER;01500;Ambérieu-en-Bugey;Rue;Aristide Briand;40;;;;;201601080000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882302.53;6543096.54;O;3;;;;010042223X;;;;;;;;
IMB/01004/X/000Y;0020;01004;01500;Ambérieu-en-Bugey;01004227ZG;Rue;Aimé Poncet;18;;;3;CIBLE;;;;;;;;;;;;201509120000;FI-01004-000B;MonofibreZMD;;IMMEUBLE;RGF93;882325.68;6543116.33;N;3;;;;010042223X;;;;;;;;
